#country+name,#country+code,#adm1+name,#adm1+code,#affected+hh+idps,#affected+idps+ind
Burundi,BDI,Bubanza,BDI001,2036,10003
Burundi,BDI,Bujumbura Mairie,BDI017,5794,27974
Burundi,BDI,Bujumbura Rural,BDI002,5518,29174
Burundi,BDI,Bururi,BDI003,461,1871
Burundi,BDI,Cankuzo,BDI004,3127,14444
Burundi,BDI,Cibitoke,BDI005,2430,12265
Burundi,BDI,Gitega,BDI006,284,1238
Burundi,BDI,Karuzi,BDI007,190,687
Burundi,BDI,Kayanza,BDI008,725,1972
Burundi,BDI,Kirundo,BDI009,1727,5375
Burundi,BDI,Makamba,BDI010,1227,5319
Burundi,BDI,Muramvya,BDI011,157,674
Burundi,BDI,Muyinga,BDI012,1852,7454
Burundi,BDI,Mwaro,BDI013,57,184
Burundi,BDI,Ngozi,BDI014,218,724
Burundi,BDI,Rumonge,BDI018,1573,7849
Burundi,BDI,Rutana,BDI015,633,3068
Burundi,BDI,Ruyigi,BDI016,1375,6335
Cameroon,CMR,Extrême-Nord,CMR004,51930,321886
Central African Republic,CAF,Bamingui-Bangoran,CF51,606,2716
Central African Republic,CAF,Bangui,CF71,11888,59452
Central African Republic,CAF,Basse-Kotto,CF61,37670,187450
Central African Republic,CAF,Basse-kotto,CF61,852,4260
Central African Republic,CAF,Haut-Mbomou,CF63,4039,18134
Central African Republic,CAF,Haute-Kotto,CF52,15675,82921
Central African Republic,CAF,Mbomou,CF62,15956,76585
Central African Republic,CAF,Nana-Gribizi,CF42,6978,31737
Central African Republic,CAF,Ombella MPoko,CF11,1624,8120
Central African Republic,CAF,Ouaka,CF43,9335,45598
Central African Republic,CAF,Ouham Pende,CF31,2295,11167
Libya,LBY,East,LY01,13939,69815
Libya,LBY,South,LY03,13466,67300
Libya,LBY,West,LY02,56296,288599
Madagascar,MDG,Androy,MDG52,1311,5250
Mali,MLI,Bamako,MLI09,854,3107
Mali,MLI,Gao,MLI07,18009,87574
Mali,MLI,Kayes,MLI01,381,1624
Mali,MLI,Kidal,MLI08,222,890
Mali,MLI,Koulikouro,MLI02,467,2195
Mali,MLI,Menaka,MLI10,,
Mali,MLI,Mopti,MLI05,20101,113043
Mali,MLI,Segou,MLI04,5326,29146
Mali,MLI,Sikasso,MLI03,855,6300
Mali,MLI,Tombouctou,MLI06,8869,43617
Nigeria,NGA,ADAMAWA,NG002,36785,206969
Nigeria,NGA,BAUCHI,NG005,10910,64777
Nigeria,NGA,BORNO,NG008,338007,1547013
Nigeria,NGA,GOMBE,NG016,5948,38793
